14/02;Día Europeo de la Salud Sexual
14/02;Día Mundial de la Energía
15/02;Día Internacional del Niño con Cáncer
15/02;Día Internacional de Visegrád
15/02;Día Internacional del Síndrome de Angelman
15/02;Día Mundial del Hipopótamo
16/02;Carnaval
16/02;Día Mundial de la Colangiocarcinoma
16/02;Día Mundial de la Antropología
17/02;Día Mundial de la Resiliencia del Turismo
17/02;Día Internacional del Juego Responsable
17/02;Día Mundial de la Motricidad Orofacial
18/02;Día Internacional del Síndrome de Asperger
18/02;Día Mundial del Pangolín
18/02;Día Mundial de las Ballenas
19/02;Día Internacional Contra la Homofobia en el Fútbol
20/02;Día Mundial de la Justicia Social
20/02;Día Internacional del Gato
20/02;Día Internacional del Camarógrafo y Fotógrafo
20/02;Lunes de Carnaval
21/02;Día Internacional de la Lengua Materna
21/02;Martes de Carnaval
21/02;Día Internacional del Guía de Turismo
22/02;Día Mundial de la Encefalitis
22/02;Día Europeo de la Igualdad Salarial
22/02;Día Europeo de las Víctimas del Delito
23/02;Día del Compromiso Internacional del Control del Mercurio
25/02;Día Internacional del Implante Coclear
26/02;Día Mundial del Pistacho
27/02;Día Mundial de las ONGs
27/02;Día Internacional del Oso Polar
27/02;Día de Concienciación sobre la Anosmia
28/02;Día Mundial de las Enfermedades Raras
28/02;Día Mundial de la Esterilización Animal
1/03;Día Mundial de los Pastos Marinos
1/03;Día de la Cero Discriminación
1/03;Día Mundial de la Concienciación sobre la Autolesión
1/03;Día Mundial de la Protección Civil
1/03;Día Internacional de la Silla de Ruedas
2/03;Día Mundial del Bienestar Mental para Adolescentes
3/03;Día Mundial de la Vida Silvestre
3/03;Día Mundial de la Audición
3/03;Día Mundial de los Defectos del Nacimiento
3/03;Día Internacional de los Escritores
4/03;Día Mundial de la Ingeniería para el Desarrollo Sostenible
4/03;Día Mundial de la Obesidad
4/03;Día Internacional de Concienciación sobre el Virus del Papiloma Humano
4/03;Día del Hermano (Argentina)
5/03;Día Internacional para Concienciar sobre el Desarme y la No Proliferación
5/03;Día del Topógrafo Europeo y la Geoinformación
5/03;Día Mundial de la Eficiencia Energética
5/03;Día de los Datos Abiertos
6/03;Día Internacional del Escultor
6/03;Día Internacional del Linfedema
6/03;Día Europeo de la Logopedia
7/03;Día Mundial de los Cereales
7/03;Día Internacional en Recuerdo de los Oficiales de Policía Caídos
8/03;Día Internacional de la Mujer
9/03;Día Mundial del Riñón
10/03;Día Internacional de las Juezas
11/03;Día Europeo de las Víctimas del Terrorismo
11/03;Día Mundial de la Fontanería
12/03;Día Mundial del Glaucoma
12/03;Día Mundial contra la Censura en Internet
14/03;Día Internacional de las Matemáticas
14/03;Día del Número Pi
14/03;Día Blanco
14/03;Día Mundial de la Endometriosis
14/03;Día Internacional de Acción por los Ríos
14/03;Día Europeo para la Prevención del Riesgo Cardiovascular
15/03;Día Internacional para Combatir la Islamofobia
15/03;Día Mundial de los Derechos del Consumidor
15/03;Día Mundial del Discurso
15/03;Día Internacional contra la Brutalidad Policial
15/03;Día Mundial contra la Matanza de Focas
17/03;Día Mundial del Sueño
17/03;Día de San Patricio
18/03;Día Mundial de las Enfermedades Reumáticas de la Juventud
18/03;Día Mundial del Síndrome de Edwards o Trisomía 18
19/03;Día del Padre
19/03;Día Internacional del Artesano
20/03;Día Internacional de la Felicidad
20/03;Equinoccio de Primavera
20/03;Día Mundial del Gorrión
20/03;Equinoccio de Otoño (Hemisferio Sur)
20/03;Día Internacional de la Lengua Francesa
20/03;Día Mundial de la Salud Bucodental
20/03;Día Internacional de la Francofonía
21/03;Día Internacional de los Bosques
21/03;Día Mundial del Síndrome de Down
21/03;Día Mundial del Trabajo Social
21/03;Día Internacional de la Eliminación de la Discriminación Racial
21/03;Día Mundial de la Poesía
21/03;Día Internacional de Nowruz
21/03;Día Internacional del Color
21/03;Día Mundial de la Marioneta
21/03;Día Internacional de la Cefalea en Racimos
22/03;Día Mundial del Agua
23/03;Día Meteorológico Mundial
23/03;Día Mundial del Aprendizaje
24/03;Día Mundial de la Tuberculosis
24/03;Día Internacional del Derecho a la Verdad en relación con Violaciones Graves de los Derechos Humanos y de la Dignidad de las Víctimas
25/03;Día Internacional de Solidaridad con el Personal Detenido y Desaparecido
25/03;La Hora del Planeta
25/03;Día Internacional para las Víctimas de Esclavitud y Trata de Esclavos
26/03;Día del Cambio de Hora en Europa
26/03;Día Mundial del Clima
26/03;Día Mundial de Prevención del Cáncer de Cuello Uterino
27/03;Día Mundial del Teatro
29/03;Día Mundial del Piano
30/03;Día Mundial del Trastorno Bipolar
30/03;Día Internacional de las Trabajadoras del Hogar
30/03;Día Escolar de la Paz y La No Violencia (Hemisferio Sur)
31/03;Día Internacional de la Visibilidad Transgénero
31/03;Día Mundial Contra el Cáncer de Colon
31/03;Día Mundial de las Lipodistrofias
1/04;Día de las Bromas de Abril o Día Internacional de las Bromas
2/04;Día Internacional del Libro Infantil y Juvenil
2/04;Día Mundial de Concienciación sobre el Autismo
3/04;Día Mundial del Arcoíris
4/04;Día Internacional de Información Sobre el Peligro de las Minas
5/04;Día Internacional de la Conciencia
6/04;Día Internacional del Deporte para el Desarrollo y la Paz
7/04;Día Mundial de la Salud
7/04;Día Internacional de Reflexión sobre el Genocidio cometido en Ruanda
8/04;Día Internacional del Pueblo Gitano
8/04;Día Internacional de Oposición a los Alimentos Transgénicos
10/04;Día Internacional de la Homeopatía
10/04;Día Mundial del Síndrome de West
11/04;Día Mundial del Parkinson
12/04;Día Internacional de los Vuelos Espaciales Tripulados
12/04;Día Internacional de los Niños de la Calle
13/04;Día Internacional del Beso
13/04;Día de Concienciación de la Sarcoidosis
14/04;Día de las Américas
14/04;Día Mundial de la Enfermedad de Chagas
15/04;Día Mundial del Arte
15/04;Día del Niño (España)
15/04;Día Internacional de la Enfermedad de Pompe
15/04;Día Mundial del Circo
15/04;Día del Hardware Libre
16/04;Día Mundial de la Voz
16/04;Día Internacional contra la Esclavitud Infantil
16/04;Día de los Padrinos y las Madrinas
16/04;Día Mundial del Emprendimiento
16/04;Día Internacional del Síndrome de Wolf-Hirschhorn
17/04;Día Mundial de la Hemofilia
17/04;Día Mundial de la Lucha Campesina
17/04;Día de Apreciación de los Murciélagos
17/04;Día Europeo de la Información Juvenil
18/04;Día Internacional de los Monumentos y Sitios
18/04;Día Europeo de los Derechos de los Pacientes
18/04;Día Mundial del Radioaficionado
19/04;Día Mundial de Los Simpson
19/04;Día Mundial de la Bicicleta (no oficial)
20/04;Día de la Lengua China
20/04;Día Mundial de la Marihuana
21/04;Día Mundial de la Creatividad y la Innovación
22/04;Día Internacional de la Madre Tierra
22/04;Día Mundial de las Tiendas de Discos
23/04;Día Mundial del Libro y de los Derechos de Autor
23/04;Día de la Lengua Inglesa
23/04;Día de la Lengua Española
24/04;Día Mundial de la Meningitis
24/04;Día internacional del Multilateralismo y la Diplomacia para la Paz
24/04;Día Internacional del Animal de Laboratorio
25/04;Día Mundial del Paludismo
25/04;Día Mundial de los Pingüinos
25/04;Día Internacional del Delegado
25/04;Día Internacional del ADN
26/04;Día Mundial de la Propiedad Intelectual
26/04;Día Internacional del Perro Guía
26/04;Día Internacional de Concienciación sobre el Ruido
26/04;Día Internacional en Recuerdo del Desastre de Chernóbyl
26/04;Día de la Visibilidad Lésbica
27/04;Día Internacional del Diseño Gráfico
27/04;Día Internacional de las Niñas en las TIC
27/04;Día del Código Morse
27/04;Día Mundial del Tapir
28/04;Día Mundial de la Seguridad y la Salud en el Trabajo
29/04;Día Internacional de la Danza
29/04;Día Mundial de la Astronomía
29/04;Día Internacional para la Conservación de los Anfibios
29/04;Día Mundial del Veterinario
29/04;Día Internacional de la Inmunología
29/04;Día Europeo de la Solidaridad y Cooperación entre Generaciones
30/04;Día Internacional del Jazz
30/04;Día Mundial del Matrimonio
1/05;Día Internacional de los Trabajadores
1/05;Día Mundial del Amor
1/05;Día Mundial de la Enfermedad de Lyme
1/05;Día Internacional de la Anemia de Fanconi
2/05;Día Internacional contra el Bullying o el Acoso Escolar
2/05;Día Mundial del Asma
2/05;Día Mundial del Atún
3/05;Día Mundial de la Libertad de Prensa
3/05;Día Mundial de la Salud Mental Materna
4/05;Día Internacional de los Bomberos
4/05;Día Mundial de la Contraseña
4/05;Día de Star Wars
5/05;Día Internacional de la Matrona
5/05;Día de Vesak
5/05;Día Mundial del Patrimonio Africano
5/05;Día Mundial de la Hipertensión Pulmonar
5/05;Día Mundial de la Higiene de Manos
5/05;Día Mundial de la Lengua Portuguesa
6/05;Día Internacional sin Dietas
6/05;Día Mundial de la Filatelia
6/05;Día Mundial de la Espondilitis Anquilosante
6/05;Día Internacional de la Osteogénesis Imperfecta
7/05;Día de la Madre
7/05;Día Mundial de la Risa
7/05;Día Mundial de los Huérfanos del Sida
8/05;Día Mundial de la Cruz Roja y de la Media Luna Roja
8/05;Jornadas de Recuerdo y Reconciliación en Honor de Quienes Perdieron la Vida en la Segunda Guerra Mundial
8/05;Día Mundial del Cáncer de Ovario
8/05;Día Internacional de la Talasemia
9/05;Día de Europa
10/05;Día Mundial del Lupus
10/05;Día Mundial de la Gestión de Instalaciones
10/05;Día Internacional de los Arganes
12/05;Día Internacional de la Sanidad Vegetal
12/05;Día Internacional de la Enfermera
12/05;Día Europeo de las PYMEs
12/05;Día Mundial de la Fibromialgia y del Síndrome de la Fatiga Crónica
12/05;Día Internacional de las Mujeres Matemáticas
13/05;Día del Niño Hospitalizado
13/05;Día Mundial de las Aves Migratorias
13/05;Día Mundial del Comercio Justo
13/05;Día Mundial del Entrenador de Fútbol
14/05;Día de la Madre (Venezuela, Colombia, EEUU y otros países)
15/05;Día Internacional de las Familias
15/05;Día Internacional de la Objeción de Conciencia
15/05;Día Internacional del Síndrome de Ehlers-Danlos
15/05;Día Internacional de la Esclerosis Tuberosa
16/05;Día Mundial de la Luz
16/05;Día Internacional de la Convivencia en Paz
16/05;Día Mundial del Heavy Metal
16/05;Día Internacional de los Celíacos
16/05;Día Mundial del Angioedema Hereditario
16/05;Día Mundial de Concienciación sobre los Defectos Congénitos de la Glicosilación
17/05;Día Mundial de Internet
17/05;Día Internacional contra la Homofobia, la Transfobia y la Bifobia
17/05;Día Mundial del Reciclaje
17/05;Día Mundial de las Telecomunicaciones y la Sociedad de la Información
17/05;Día Mundial de la Hipertensión Arterial
17/05;Día Mundial del Horticultor
18/05;Día Internacional de los Museos
19/05;Día Mundial del Médico de Familia
19/05;Día Mundial de la Enfermedad Inflamatoria Intestinal
19/05;Día Mundial de la Donación de Leche Materna
20/05;Día Mundial de las Abejas
20/05;Día Internacional de los Ensayos Clínicos
20/05;Día Mundial de la Metrología
20/05;Día Europeo contra la Obesidad
20/05;Día Internacional de la Enfermedad de Behçet
20/05;Día Internacional del Síndrome de Williams
20/05;Día Mundial del Whisky
21/05;Día Internacional del Té
21/05;Día Mundial de la Diversidad Cultural para el Diálogo y el Desarrollo
21/05;Día Europeo de la Red Natura 2000
22/05;Día Internacional de la Diversidad Biológica
22/05;Día Internacional del Síndrome 22q11
23/05;Día Internacional para la Erradicación de la Fístula Obstétrica
23/05;Día Mundial contra el Melanoma
23/05;Día Internacional del Fútbol Femenino
23/05;Día Mundial de la Tortuga
24/05;Día Europeo de los Parques Naturales
24/05;Día Internacional de las Mujeres por la Paz y el Desarme
25/05;Día de África
25/05;Día Internacional de las Manchas Cutáneas
25/05;Día del Orgullo Friki
25/05;Día Mundial de la Tiroides
27/05;Día de Sensibilización de las Colagenopatías Tipo II
28/05;Día Internacional del Juego
28/05;Día Internacional de Acción por la Salud de las Mujeres
28/05;Día Internacional del Síndrome de Treacher Collins
28/05;Día Internacional de la Hamburguesa
28/05;Día Mundial del Hambre
28/05;Día Mundial del Cáncer de Sangre
28/05;Día Internacional de la Higiene Menstrual
28/05;Día Mundial del perro sin raza
29/05;Día Internacional del Personal de Paz de las Naciones Unidas
29/05;Día Mundial de la Salud Digestiva
29/05;Día Internacional del Everest
30/05;Día Mundial de la Esclerosis Múltiple
30/05;Día Internacional del Síndrome Prader Willi
31/05;Día Mundial sin Tabaco
31/05;Día Internacional del Tripulante de Cabina
31/05;Día Mundial del Loro
31/05;Día Mundial de la Nutria
1/06;Día Mundial de las Madres y los Padres
1/06;Día Mundial de los Arrecifes
1/06;Día Mundial de la Leche
2/06;Día Mundial de Lucha contra la Miastenia Gravis
3/06;Día Mundial de la Bicicleta
3/06;Día Internacional del Sommelier
4/06;Día Mundial del Superviviente de Cáncer
4/06;Día Internacional de los Niños Inocentes Víctimas de Agresión
4/06;Día Mundial de la Fertilidad
5/06;Día Mundial del Medio Ambiente
5/06;Día Internacional de la Lucha Contra la Pesca Ilegal no declarada y no reglamentada
6/06;Día Mundial de los Pacientes Trasplantados
6/06;Día de la Lengua Rusa
6/06;Día Mundial de Concienciación sobre la importancia del control de plagas
6/06;Día Mundial de la Hidradenitis Supurativa
7/06;Día Mundial de la Inocuidad de los Alimentos
7/06;Día Mundial de los Derechos del Nacimiento
7/06;Día Mundial del Corredor
7/06;Día Mundial del Vencejo
7/06;Día Mundial de Concienciación del Síndrome de Tourette
8/06;Día Mundial de los Océanos
8/06;Día Mundial de Lucha contra la Falsificación y la Piratería
8/06;Día Mundial del Funcionario Judicial
8/06;Día Internacional de los Tumores Cerebrales
9/06;Día Internacional de los Archivos
10/06;Día Internacional de la Heráldica
10/06;Día Mundial del Modernismo
10/06;Día Mundial de la Enfermedad de Andrade
11/06;Día Mundial del Cáncer de Próstata
11/06;Día Internacional del Síndrome KBG
12/06;Día Mundial contra el Trabajo Infantil
12/06;Día Internacional del Doblaje
13/06;Día Internacional de Sensibilización sobre el Albinismo
13/06;Día Europeo de la Prevención del Cáncer de Piel
14/06;Día Mundial del Donante de Sangre
15/06;Día Mundial de Toma de Conciencia del Abuso y Maltrato en la Vejez
15/06;Día Mundial de la Tapa
15/06;Día Global del Viento
15/06;Día Mundial del Cáncer de Riñón
16/06;Día Mundial de las Tortugas Marinas
16/06;Día Internacional del Niño Africano
16/06;Día Internacional de las Remesas Familiares
16/06;Día Internacional de la Solidaridad con el Pueblo en Lucha de Sudáfrica
16/06;Día Internacional de la Biotecnología
17/06;Día de Lucha contra la Desertificación y la Sequía
17/06;Día Internacional del Surf
18/06;Día de la Gastronomía Sostenible
18/06;Día Internacional para Contrarrestar el Discurso de Odio
18/06;Día Mundial contra la Incineración
18/06;Día Internacional del Sushi
18/06;Día del Padre (EEUU e Iberoamérica)
19/06;Día Internacional para la Eliminación de la Violencia Sexual en los Conflictos
20/06;Día Mundial del Refugiado
20/06;Yellow Day, el Día más feliz del año
20/06;Día Mundial del Wi-Fi
20/06;Día Mundial de la Distrofia Muscular FacioEscapuloHumeral
21/06;Día Internacional de la Celebración del Solsticio
21/06;Día Internacional del Sol
21/06;Solsticio de Verano
21/06;Solsticio de Invierno en el Hemisferio Sur
21/06;Día Internacional del Yoga
21/06;Día Mundial de la Jirafa
21/06;Día Mundial de la Hidrografía
21/06;Día Internacional de la Educación No Sexista
21/06;Día Europeo de la Música
21/06;Día Mundial de la Lucha contra la Esclerosis Lateral Amiotrófica (ELA)
21/06;Día Internacional de la Aniridia
21/06;Día Internacional de SYNGAP
22/06;Día Internacional de los Bosques Tropicales
22/06;Día del Futbolista Argentino
23/06;Día Internacional de las Viudas
23/06;Día Internacional de la Mujer en la Ingeniería
23/06;Día de las Naciones Unidas para la Administración Pública
23/06;Día Internacional del Síndrome de Dravet
24/06;Día Internacional contra la Contaminación Electromagnética
24/06;Día Internacional del Maquillador
24/06;Día Internacional de las Mujeres en la Diplomacia
25/06;Día de la Gente de Mar
25/06;Día Mundial del Vitiligo
26/06;Día Internacional de la Lucha contra el Uso Indebido y el Tráfico Ilícito de Drogas
26/06;Día Internacional de Apoyo a las Víctimas de la Tortura
26/06;Día Mundial de la Refrigeración
27/06;Día de las Microempresas y las Pequeñas y Medianas Empresas
27/06;Día Internacional de las Personas Sordociegas
27/06;Día Mundial del Microbioma
28/06;Día Internacional del Orgullo LGBT o Día del Orgullo Gay
28/06;Día Mundial del Árbol
28/06;Día Mundial de la Fenilcetonuria
29/06;Día Internacional de los Trópicos
29/06;Día Mundial del Diseño Industrial
29/06;Día Europeo de la Esclerodermia
30/06;Día Internacional de los Asteroides
30/06;Día de las Redes Sociales
30/06;Día Internacional del Parlamentarismo
30/06;Día Mundial de la Artrogriposis Múltiple Congénita
1/07;Día Internacional de las Cooperativas
1/07;Día Internacional del Reggae
1/07;Día Internacional del Chiste
1/07;Día Internacional de la Fruta
2/07;Día Mundial de los OVNIs
2/07;Día Internacional del Periodista Deportivo
3/07;Día Internacional Libre de Bolsas de Plástico
3/07;Día Internacional del Síndrome de Rubinstein-Taybi
4/07;Día Mundial de los Delfines en Cautiverio
4/07;Día Mundial del Ebook o Libro Electrónico
6/07;Día Internacional del Beso Robado
6/07;Día Internacional de Los Beatles
6/07;Día Mundial de la Zoonosis
7/07;Día Internacional de la Conservación del Suelo 
7/07;Día Mundial del Cacao
7/07;Día Internacional del Cóndor
7/07;Día Mundial del Idioma Kiswahili
8/07;Día Mundial de la Alergia
9/07;Día Internacional de la Destrucción de Armas de Fuego
10/07;Día Internacional de Los Beatles
10/07;Día Mundial del Glut1
11/07;Día Mundial de la Población
13/07;Día Mundial del Rock
13/07;Día Internacional del Sarcoma
13/07;Día Internacional del Director de Orquesta
13/07;Día Internacional del Trastorno por Déficit de Atención e Hiperactividad
14/07;Día Mundial del Chimpancé
14/07;Día Internacional del Auxiliar de Enfermería
15/07;Día Mundial de las Habilidades de la Juventud
16/07;Día Mundial de la Serpiente
18/07;Día Internacional de Nelson Mandela
18/07;Día de la Vaquita Marina
18/07;Día Mundial de la Escucha
20/07;Día Mundial del Ajedrez
20/07;Día Internacional de la Luna
20/07;Día del Amigo
21/07;Día Mundial del Perro
22/07;Día Mundial del Cerebro
22/07;Día Mundial Contra la Minería a Cielo Abierto
22/07;Día Mundial del Síndrome del Cromosoma X Frágil
23/07;Día Mundial de las Ballenas y los Delfines
23/07;Día Mundial del Síndrome de Sjögren
24/07;Día Internacional del Tequila
24/07;Día Internacional del Autocuidado
25/07;Día Internacional de la Mujer Afrodescendiente
25/07;Día Mundial para la Prevención de los Ahogamientos
26/07;Día de los Abuelos
26/07;Día Internacional de la defensa del Ecosistema de Manglares
27/07;Día Mundial del Cáncer de Cabeza y Cuello
28/07;Día Mundial contra la Hepatitis Vírica
28/07;Día del Administrador de Sistemas Informáticos
28/07;Día de la Sobrecapacidad de la Tierra
29/07;Día Internacional del Tigre
30/07;Día Internacional de la Amistad
30/07;Día Mundial contra la Trata de Personas
31/07;Día Mundial de los Guardas Forestales
1/08;Día Mundial de la Alegría
1/08;Día Mundial del ARN
1/08;Día de la Pachamama
3/08;Día Internacional de la Planificación Familiar
4/08;Día Internacional de la Cerveza
4/08;Día Internacional del Leopardo Nublado
7/08;Día Mundial de los Faros
8/08;Dia Internacional del Gato (por IFAW)
8/08;Día Internacional del Orgasmo Femenino
8/08;Día de la Encefalomielitis Miálgica Severa
9/08;Día Internacional de las Poblaciones Indígenas
9/08;Día Internacional de la Solidaridad con la lucha de la Mujer en Sudáfrica y Namibia
9/08;Día Mundial de la Caligrafía
10/08;Día Mundial del León
10/08;Día Internacional del Biodiésel
12/08;Día Internacional de la Juventud
12/08;Día Mundial del Elefante
12/08;Día Internacional del Disco de Vinilo
13/08;Día Internacional de la Zurdera
13/08;Día Internacional del Armadillo
14/08;Día Mundial del Lagarto
15/08;Día Mundial de la Relajación
17/08;Día Mundial del Peatón
17/08;Día Internacional de la Enfermedad de Coats
18/08;Día Mundial de la Prevención de Incendios Forestales
19/08;Día Mundial de la Fotografía
19/08;Día Internacional del Animal sin Hogar
19/08;Día Mundial de la Asistencia Humanitaria
19/08;Día Mundial del Orangután
20/08;Día Mundial del Mosquito
21/08;Día Internacional de Conmemoración y Homenaje a las Víctimas del Terrorismo
22/08;Día Internacional de Conmemoración de las Víctimas de Actos de Violencia Motivados por la Religión o las Creencias
22/08;Día Mundial del Folclore
23/08;Día Internacional para el recuerdo del comercio de esclavos y su abolición
23/08;Día del Internauta
23/08;Día Internacional del Hashtag
23/08;Día Europeo de Conmemoración de las Víctimas del Estalinismo y el Nazismo
25/08;Día Internacional del Peluquero
26/08;Día Internacional contra el Dengue
26/08;Día Internacional de la Actriz y del Actor
26/08;Día del Perro (EEUU y algunos países de Iberoamérica)
26/08;Día de Namibia
28/08;Día Mundial del Síndrome de Turner
29/08;Día Internacional contra los Ensayos Nucleares
29/08;Día Mundial del Videojuego
30/08;Día Internacional de los Desaparecidos
30/08;Día Internacional del Tiburón Ballena
31/08;Día Internacional de la Solidaridad
31/08;Día Internacional de los Afrodescendientes
31/08;Día Internacional de la Obstetricia
31/08;Día Internacional de Conciencia acerca de la Sobredosis
1/09;Día Mundial de la Dactiloscopía
1/09;Día Internacional de los Primates
2/09;Día Internacional del Buitre
4/09;Día Internacional del Taekwondo
4/09;Día Mundial de la Salud Sexual
4/09;Día Mundial del Síndrome PFAPA
5/09;Día Internacional de la Mujer Indígena
5/09;Día Internacional de la Beneficencia 
5/09;Día Mundial del Hermano
5/09;Día Mundial del Periodista Turístico
5/09;Día de la Vaquita Marina
5/09;Día Internacional del Mieloma Múltiple
6/09;Día Mundial de las Aves Playeras
6/09;Día Global de Adquisición de Talento
7/09;Día Internacional del Aire Limpio por un Cielo Azul
7/09;Día Internacional de la Cooperación Policial
7/09;Día Mundial de Concienciación de Duchenne
7/09;Día Mundial del Buzo
8/09;Día Internacional de la Alfabetización
8/09;Día Internacional del Periodista
8/09;Día Mundial de la Fibrosis Quística
8/09;Día Mundial de la Fisioterapia
9/09;Dia Mundial de la Arepa
9/09;Día Internacional Proteger la Educación de Ataques
9/09;Día Mundial de los Primeros Auxilios
9/09;Día Mundial de la Agricultura
9/09;Día del Bienestar en el Caribe
9/09;Día Mundial del Vehículo Eléctrico
9/09;Día Mundial del Trastorno del Espectro Alcohólico Fetal
9/09;Día Internacional de la Belleza
9/09;Día Internacional del Tester de Software
10/09;Día Internacional para la prevención del suicidio
12/09;Día de las Naciones Unidas para la Cooperación Sur-Sur
12/09;Día Internacional de Acción contra la Migraña
13/09;Día Internacional del Chocolate
13/09;Día del Programador
13/09;Día Mundial de la Sepsis
13/09;Día del Profesor de Natación
14/09;Día Mundial de la Dermatitis Atópica
15/09;Día Internacional de la Democracia
15/09;Día Europeo de la Salud Prostática
15/09;Día Mundial del Linfoma
16/09;Día Internacional de la Capa de Ozono
16/09;Día Mundial del Donante de Médula Ósea y Sangre de Cordón Umbilical
16/09;Día Internacional de la Cardiología Intervencionista
16/09;Día Mundial de la Limpieza
16/09;Día Internacional del Panda Rojo
16/09;Día Mundial de las Playas
16/09;Día Mundial del Software Libre
17/09;Día Mundial de la Seguridad del Paciente
17/09;Día Internacional de la Música Country
17/09;Día Mundial del Síndrome de Kleefstra
18/09;Día Internacional de la Igualdad Salarial
18/09;Día Mundial de la Quiropraxia
18/09;Día Mundial de la Ética Médica
18/09;Día Mundial del Control de la Calidad del Agua
18/09;Día Mundial del Bambú
18/09;Día Mundial del Síndrome de Pitt-Hopkins
19/09;Día Internacional de Concienciación sobre la Mordedura de Serpiente
19/09;Día Mundial del Aperitivo
19/09;Día Mundial de Sensibilización sobre la Disección Aórtica
20/09;Día Internacional del Deporte Universitario
20/09;Día Mundial de la Libertad de Expresión de Pensamiento
20/09;Día Internacional de Concienciación sobre el Crecimiento Infantil
21/09;Día Internacional de la Paz
21/09;Día Mundial del Alzheimer
21/09;Día Internacional contra los Monocultivos de Árboles
21/09;Día del Artista Plástico
21/09;Día Mundial del Paganismo
21/09;Día Internacional del Rock Progresivo
21/09;Día Internacional de la Bibliodiversidad
22/09;Día Mundial sin Coche
22/09;Día Mundial del Rinoceronte
22/09;Día Internacional del Mimo
22/09;Día Europeo sin Coches
22/09;Día Mundial de la Narcolepsia
22/09;Día Mundial de la Leucemia Mieloide Crónica y Aguda
23/09;Equinoccio de Otoño
23/09;Equinoccio de Primavera (Hemisferio Sur)
23/09;Día Internacional Contra la Explotación Sexual y la Trata de Personas
23/09;Día Internacional de las Lenguas de Señas
23/09;Día Internacional de la Bisexualidad
23/09;Día Mundial del Síndrome de Piernas Inquietas
24/09;Día Mundial del Gorila
24/09;Día Internacional de las Personas Sordas
24/09;Día Internacional de Investigación contra el Cáncer
24/09;Día Mundial de la Retinosis Pigmentaria
24/09;Día Mundial del Cáncer de Tiroides
24/09;Día Mundial contra las Patentes de Software
24/09;Día Mundial de los Ríos
24/09;Jornada Mundial del Migrante y Refugiado
25/09;Día Mundial del Farmacéutico
25/09;Día Internacional de la Ataxia
26/09;Día Internacional para la Eliminación Total de las Armas Nucleares
26/09;Día Mundial de la Salud Ambiental
26/09;Día Mundial de la Anticoncepción
